Super-Reino	Filo	Classe	Ordem	Familia	Genero	Especie	LGM047_BAC-1.2	LGM0159_1_EL_BAC-1.25
Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Uliginosibacterium	Uliginosibacterium sangjuense	0.0	0.0
Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Uliginosibacterium	Uliginosibacterium gangwonense	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Tianweitania	Tianweitania sediminis	0.0	0.0
Bacteria	Actinobacteria	Actinomycetia	Streptosporangiales	Thermomonosporaceae	Thermomonospora	Thermomonospora cellulosilytica	0.0	0.0
Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Thauera	Thauera phenolivorans	0.0	0.0
Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Steroidobacteraceae	Steroidobacter	Steroidobacter agaridevorans	0.0	0.0
Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Reticulibacteraceae	Reticulibacter	Reticulibacter mediterranei	0.0	0.0
Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	Schlesneria	Schlesneria paludicola	0.0	0.0
Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	Saccharothrix australiensis	0.0	0.0
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Roseimaritima	Roseimaritima multifibrata	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Rhodoplanes	Rhodoplanes roseus	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Rhodoplanes	Rhodoplanes oryzae	0.0	0.0
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus oxybenzonivorans	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium	Rhizobium indicum	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium	Rhizobium alvei	0.0	0.0
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Sapientia	Sapientia aquatica	0.0	0.0
Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Sediminibacterium	Sediminibacterium aquarii	0.0	0.0
Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Sediminibacterium	Sediminibacterium soli	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sinipercae	0.0	0.0
Bacteria	Actinobacteria	Actinomycetia	Streptosporangiales	Streptosporangiaceae	Sphaerisporangium	Sphaerisporangium dianthi	0.0	0.0
Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	Sorangium cellulosum	0.0	0.0
Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Solirubrobacter ginsenosidimutans	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Skermanella	Skermanella aerolata	0.0	0.0
Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Singulisphaera	Singulisphaera rosea	0.0	0.0
Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	Saccharothrix carnea	0.0	0.0
